attack_ID,threat_actors
T1057,Poseidon Group
T1057,APT38
T1057,Molerats
T1141,FIN4
T1072,Threat Group-1314
T1041,Stealth Falcon
T1041,Lazarus Group
T1041,APT3
T1041,APT32
T1041,Ke3chang
T1041,Gamaredon Group
T1060,APT18
T1060,Leviathan
T1060,Dark Caracal
T1060,Dragonfly 2.0
T1060,APT39
T1060,APT37
T1060,Turla
T1060,Ke3chang
T1060,Cobalt Group
T1060,MuddyWater
T1060,BRONZE BUTLER
T1060,Threat Group-3390
T1060,FIN7
T1060,Magic Hound
T1060,APT19
T1060,Honeybee
T1060,FIN6
T1060,Lazarus Group
T1060,APT3
T1060,APT32
T1060,Patchwork
T1060,Gorgon Group
T1060,Darkhotel
T1060,Putter Panda
T1060,APT29
T1060,APT33
T1060,FIN10
T1023,Darkhotel
T1023,Lazarus Group
T1023,APT29
T1023,Leviathan
T1023,FIN7
T1023,Dragonfly 2.0
T1023,APT39
T1023,Gorgon Group
T1026,Lazarus Group
T1122,APT28
T1015,APT3
T1015,Axiom
T1015,Deep Panda
T1015,APT29
T1210,APT28
T1199,APT28
T1199,menuPass
T1098,APT3
T1098,Lazarus Group
T1098,Dragonfly 2.0
T1170,FIN7
T1170,MuddyWater
T1170,APT32
T1048,Lazarus Group
T1048,Thrip
T1048,FIN8
T1048,APT33
T1048,OilRig
T1097,APT32
T1097,APT29
T1097,Ke3chang
T1097,BRONZE BUTLER
T1061,APT3
T1110,Lazarus Group
T1110,APT3
T1110,Dragonfly 2.0
T1110,Leafminer
T1110,APT33
T1110,Turla
T1110,OilRig
T1001,APT28
T1001,Axiom
T1039,Sowbug
T1039,BRONZE BUTLER
T1039,menuPass
T1078,TEMP.Veles
T1078,APT18
T1078,Stolen Pencil
T1078,Leviathan
T1078,Dragonfly 2.0
T1078,APT39
T1078,OilRig
T1078,FIN4
T1078,FIN5
T1078,Carbanak
T1078,Threat Group-3390
T1078,Night Dragon
T1078,menuPass
T1078,FIN6
T1078,Suckfly
T1078,PittyTiger
T1078,APT3
T1078,APT32
T1078,APT28
T1078,Threat Group-1314
T1078,FIN8
T1078,APT33
T1078,FIN10
T1073,Threat Group-3390
T1073,APT3
T1073,APT32
T1073,menuPass
T1073,Patchwork
T1073,APT19
T1068,Cobalt Group
T1068,FIN6
T1068,Threat Group-3390
T1068,FIN8
T1068,PLATINUM
T1068,APT32
T1068,APT28
T1068,APT33
T1027,APT18
T1027,Leviathan
T1027,Dark Caracal
T1027,Elderwood
T1027,APT37
T1027,OilRig
T1027,Cobalt Group
T1027,MuddyWater
T1027,BlackOasis
T1027,Threat Group-3390
T1027,FIN7
T1027,Night Dragon
T1027,menuPass
T1027,Magic Hound
T1027,Dust Storm
T1027,APT19
T1027,Honeybee
T1027,Lazarus Group
T1027,APT3
T1027,APT32
T1027,Leafminer
T1027,APT28
T1027,Patchwork
T1027,Tropic Trooper
T1027,Darkhotel
T1027,Putter Panda
T1027,APT29
T1027,FIN8
T1027,APT33
T1027,Group5
T1027,Gallmaker
T1201,OilRig
T1187,DarkHydrus
T1187,Dragonfly 2.0
T1486,APT38
T1488,Lazarus Group
T1002,Sowbug
T1002,Honeybee
T1002,FIN6
T1002,Lazarus Group
T1002,MuddyWater
T1002,BRONZE BUTLER
T1002,Threat Group-3390
T1002,APT3
T1002,FIN8
T1002,APT32
T1002,CopyKittens
T1002,APT39
T1002,Dragonfly 2.0
T1002,APT1
T1002,APT28
T1002,menuPass
T1002,Ke3chang
T1002,Magic Hound
T1002,APT33
T1002,Gallmaker
T1081,Stolen Pencil
T1081,APT3
T1081,MuddyWater
T1056,Darkhotel
T1056,Sowbug
T1056,Lazarus Group
T1056,Threat Group-3390
T1056,Stolen Pencil
T1056,APT3
T1056,PLATINUM
T1056,menuPass
T1056,Magic Hound
T1056,APT28
T1056,OilRig
T1056,FIN4
T1056,Ke3chang
T1056,APT38
T1056,Group5
T1203,Cobalt Group
T1203,TA459
T1203,Lazarus Group
T1203,BRONZE BUTLER
T1203,APT29
T1203,Leviathan
T1203,Elderwood
T1203,APT32
T1203,APT37
T1203,Patchwork
T1203,APT28
T1203,APT33
T1203,Tropic Trooper
T1100,TEMP.Veles
T1100,Leviathan
T1100,Deep Panda
T1100,APT32
T1100,Dragonfly 2.0
T1100,APT39
T1100,OilRig
T1095,APT3
T1095,PLATINUM
T1095,APT29
T1075,APT28
T1075,Night Dragon
T1075,APT32
T1075,APT1
T1012,Stealth Falcon
T1012,Lazarus Group
T1012,Threat Group-3390
T1012,APT32
T1012,Dragonfly 2.0
T1012,Turla
T1012,OilRig
T1030,Threat Group-3390
T1028,Threat Group-3390
T1065,TEMP.Veles
T1065,Lazarus Group
T1065,APT3
T1065,APT32
T1065,Magic Hound
T1065,APT33
T1065,Gorgon Group
T1065,Group5
T1197,Leviathan
T1197,Tropic Trooper
T1088,Cobalt Group
T1088,Honeybee
T1088,APT29
T1088,MuddyWater
T1088,BRONZE BUTLER
T1088,Threat Group-3390
T1088,Patchwork
T1494,APT38
T1493,APT38
T1132,Lazarus Group
T1132,BRONZE BUTLER
T1132,Patchwork
T1132,APT33
T1132,APT19
T1496,Lazarus Group
T1500,MuddyWater
T1223,OilRig
T1223,Dark Caracal
T1223,Lazarus Group
T1213,APT28
T1213,Ke3chang
T1194,Magic Hound
T1194,Dark Caracal
T1485,APT38
T1485,Lazarus Group
T1022,Honeybee
T1022,FIN6
T1022,Lazarus Group
T1022,BRONZE BUTLER
T1022,Threat Group-3390
T1022,APT32
T1022,CopyKittens
T1022,menuPass
T1022,Patchwork
T1022,Ke3chang
T1189,Darkhotel
T1189,Lazarus Group
T1189,BRONZE BUTLER
T1189,Threat Group-3390
T1189,PLATINUM
T1189,Dark Caracal
T1189,APT32
T1189,Elderwood
T1189,Dragonfly 2.0
T1189,APT37
T1189,Leafminer
T1189,Patchwork
T1189,APT19
T1189,APT38
T1158,Tropic Trooper
T1158,APT28
T1158,Lazarus Group
T1158,APT32
T1221,DarkHydrus
T1221,APT28
T1221,Tropic Trooper
T1221,Dragonfly 2.0
T1134,APT28
T1134,Lazarus Group
T1136,Leafminer
T1136,APT3
T1136,Dragonfly 2.0
T1018,FIN6
T1018,BRONZE BUTLER
T1018,Threat Group-3390
T1018,APT3
T1018,FIN8
T1018,Deep Panda
T1018,APT32
T1018,Dragonfly 2.0
T1018,menuPass
T1018,Leafminer
T1018,Turla
T1018,Ke3chang
T1018,FIN5
T1046,Cobalt Group
T1046,FIN6
T1046,Suckfly
T1046,Threat Group-3390
T1046,APT32
T1046,menuPass
T1046,APT39
T1046,Leafminer
T1046,OilRig
T1105,APT18
T1105,Leviathan
T1105,Elderwood
T1105,Dragonfly 2.0
T1105,APT37
T1105,Turla
T1105,OilRig
T1105,Gamaredon Group
T1105,Cobalt Group
T1105,MuddyWater
T1105,BRONZE BUTLER
T1105,Threat Group-3390
T1105,FIN7
T1105,menuPass
T1105,Magic Hound
T1105,Rancor
T1105,Lazarus Group
T1105,APT3
T1105,PLATINUM
T1105,APT32
T1105,APT28
T1105,Patchwork
T1105,Gorgon Group
T1105,APT38
T1105,FIN8
T1105,APT33
T1105,FIN10
T1126,Threat Group-3390
T1084,Leviathan
T1084,APT29
T1220,Cobalt Group
T1173,Cobalt Group
T1173,MuddyWater
T1173,FIN7
T1173,APT37
T1173,Patchwork
T1173,APT28
T1173,Gallmaker
T1008,OilRig
T1008,Lazarus Group
T1096,APT32
T1124,Turla
T1124,BRONZE BUTLER
T1124,Lazarus Group
T1035,Honeybee
T1035,FIN6
T1035,Ke3chang
T1035,APT32
T1086,TEMP.Veles
T1086,Stealth Falcon
T1086,Leviathan
T1086,CopyKittens
T1086,Dragonfly 2.0
T1086,OilRig
T1086,Turla
T1086,Cobalt Group
T1086,MuddyWater
T1086,BRONZE BUTLER
T1086,Thrip
T1086,Threat Group-3390
T1086,FIN7
T1086,Deep Panda
T1086,menuPass
T1086,Magic Hound
T1086,Poseidon Group
T1086,APT19
T1086,FIN6
T1086,APT3
T1086,APT32
T1086,DarkHydrus
T1086,APT28
T1086,Patchwork
T1086,Gorgon Group
T1086,APT29
T1086,TA459
T1086,FIN8
T1086,APT33
T1086,FIN10
T1086,Gallmaker
T1216,APT32
T1094,APT37
T1094,PLATINUM
T1094,OilRig
T1094,APT32
T1043,TEMP.Veles
T1043,APT18
T1043,Lazarus Group
T1043,APT29
T1043,Threat Group-3390
T1043,FIN7
T1043,APT3
T1043,Night Dragon
T1043,FIN8
T1043,APT32
T1043,Dragonfly 2.0
T1043,Magic Hound
T1043,APT37
T1043,APT33
T1043,Tropic Trooper
T1043,APT19
T1211,APT28
T1077,Orangeworm
T1077,Lazarus Group
T1077,APT3
T1077,FIN8
T1077,Deep Panda
T1077,APT32
T1077,Turla
T1077,Ke3chang
T1077,Threat Group-1314
